Case ID,Claude Score,Grok Score,Diff
MTS_0001,2,2,0
MTS_0002,3,4,1
MTS_0003,4,3,-1
MTS_0004,2,2,0
MTS_0005,1,1,0
MTS_0006,1,1,0
MTS_0008,2,2,0
MTS_0010,2,2,0
MTS_0013,5,2,-3
MTS_0017,1,2,1
MTS_0018,2,3,1
MTS_0019,2,2,0
MTS_0021,1,1,0
MTS_0022,2,3,1
MTS_0023,1,2,1
MTS_0024,2,2,0
MTS_0025,2,2,0
MTS_0026,1,2,1
MTS_0027,1,3,2
MTS_0028,2,2,0
MTS_0035,1,2,1
MTS_0037,3,4,1
MTS_0041,1,3,2
MTS_0042,1,2,1
MTS_0043,1,3,2
MTS_0050,1,4,3
MTS_0052,1,1,0
MTS_0059,2,2,0
MTS_0060,3,4,1
MTS_0062,1,2,1
MTS_0068,1,3,2
MTS_0070,3,5,2
MTS_0072,2,3,1
MTS_0076,5,5,0
MTS_0077,3,4,1
MTS_0078,2,2,0
MTS_0079,4,4,0
MTS_0081,3,3,0
MTS_0082,3,2,-1
MTS_0083,1,1,0
MTS_0084,2,2,0
MTS_0085,3,3,0
MTS_0089,3,4,1
MTS_0091,2,3,1
MTS_0093,1,1,0
MTS_0094,2,2,0
MTS_0095,2,3,1
MTS_0096,4,5,1
MTS_0097,3,4,1
MTS_0098,1,2,1
MTS_0100,2,3,1
MTS_0102,2,4,2
MTS_0103,2,3,1
MTS_0106,3,3,0
MTS_0108,3,4,1
MTS_0109,2,2,0
MTS_0112,1,1,0
MTS_0113,2,2,0
MTS_0117,1,3,2
MTS_0118,1,2,1
MTS_0119,1,1,0
MTS_0120,1,2,1
MTS_0121,1,1,0
MTS_0122,1,2,1
MTS_0123,1,1,0
MTS_0124,2,3,1
MTS_0125,1,2,1
MTS_0130,1,2,1
MTS_0131,1,1,0
MTS_0132,2,3,1
MTS_0134,1,4,3
MTS_0136,4,4,0
MTS_0140,2,2,0
MTS_0142,3,3,0
MTS_0143,1,2,1
MTS_0145,1,2,1
MTS_0149,2,3,1
MTS_0151,4,4,0
MTS_0152,1,2,1
MTS_0153,2,3,1
MTS_0157,2,2,0
MTS_0159,3,3,0
MTS_0162,1,1,0
MTS_0164,1,2,1
MTS_0179,3,4,1
MTS_0189,2,2,0
MTS_0213,1,1,0
MTS_0230,3,4,1
MTS_0231,2,2,0
MTS_0235,1,2,1
MTS_0238,2,2,0
MTS_0239,2,1,-1
MTS_0244,4,3,-1
MTS_0254,2,3,1
MTS_0255,2,2,0
MTS_0285,3,2,-1
MTS_0286,4,3,-1
MTS_0287,2,2,0
MTS_0292,4,4,0
MTS_0304,2,3,1
MTS_0305,3,2,-1
MTS_0314,3,4,1
MTS_0316,1,1,0
MTS_0317,2,3,1
MTS_0321,2,2,0
MTS_0324,1,2,1
MTS_0325,2,4,2
MTS_0327,1,2,1
MTS_0328,1,3,2
MTS_0329,1,2,1
MTS_0331,2,3,1
MTS_0332,2,4,2
MTS_0333,2,3,1
MTS_0334,2,3,1
MTS_0336,1,2,1
MTS_0337,1,4,3
MTS_0338,2,3,1
MTS_0339,3,3,0
MTS_0340,1,2,1
MTS_0343,1,3,2
MTS_0344,1,2,1
MTS_0346,3,4,1
MTS_0356,1,1,0
MTS_0380,5,5,0
MTS_0395,1,2,1
MTS_0396,2,2,0
MTS_0398,1,3,2
MTS_0402,2,2,0
MTS_0415,1,3,2
MTS_0418,2,1,-1
MTS_0419,4,4,0
MTS_0420,1,2,1
MTS_0425,1,2,1
MTS_0426,2,3,1
MTS_0440,1,2,1
MTS_0441,1,1,0
MTS_0449,2,3,1
MTS_0452,4,4,0
MTS_0459,1,3,2
MTS_0468,2,3,1
MTS_0471,1,2,1
MTS_0473,3,4,1
MTS_0476,1,2,1
MTS_0480,1,1,0
MTS_0481,1,1,0
MTS_0497,1,1,0
MTS_0498,2,3,1
MTS_0499,2,1,-1
MTS_0500,3,3,0
MTS_0502,2,2,0
MTS_0503,1,1,0
MTS_0504,1,1,0
MTS_0505,1,2,1
MTS_0506,1,2,1
MTS_0507,2,4,2
MTS_0510,2,3,1
MTS_0511,1,2,1
MTS_0516,1,3,2
MTS_0530,1,2,1
MTS_0536,2,2,0
MTS_0538,1,1,0
MTS_0539,1,2,1
MTS_0544,2,3,1
MTS_0545,2,4,2
MTS_0546,3,4,1
MTS_0555,1,2,1
MTS_0559,1,2,1
MTS_0560,1,1,0
MTS_0574,3,3,0
MTS_0578,2,4,2
MTS_0582,3,2,-1
MTS_0586,2,1,-1
MTS_0593,3,4,1
MTS_0599,2,2,0
MTS_0600,1,2,1
MTS_0611,2,3,1
MTS_0613,1,2,1
MTS_0621,2,4,2
MTS_0622,1,3,2
MTS_0625,2,2,0
MTS_0655,5,4,-1
MTS_0656,1,2,1
MTS_0670,2,3,1
MTS_0675,1,2,1
MTS_0677,2,3,1
MTS_0680,1,2,1
MTS_0687,1,2,1
MTS_0692,1,2,1
MTS_0697,2,4,2
MTS_0699,1,2,1
MTS_0706,1,2,1
MTS_0717,1,3,2
MTS_0718,1,2,1
MTS_0727,1,3,2
MTS_0733,4,4,0
MTS_0736,2,4,2
MTS_0749,1,2,1
MTS_0823,2,4,2
MTS_0829,3,4,1
MTS_0834,1,2,1
MTS_0835,3,3,0
MTS_0837,2,2,0
MTS_0840,1,3,2
MTS_0851,2,4,2
MTS_0857,2,2,0
MTS_0859,1,2,1
MTS_0862,1,1,0
MTS_0863,1,2,1
MTS_0867,1,1,0
MTS_0881,2,2,0
MTS_0898,1,3,2
MTS_0915,2,3,1
MTS_0917,2,2,0
MTS_0962,1,2,1
MTS_0971,2,4,2
MTS_0974,2,4,2
MTS_0976,3,5,2
MTS_0977,2,4,2
MTS_0986,1,1,0
MTS_0995,1,2,1
