case_id,specialty,model,llm_cost,phys_cost,excess,excess_pos,dvir,grok,shahar
MTS_0001,SOAP / Chart / Progress Notes,GPT-5.2,15.36,0.0,15.36,15.36,3,3,3
MTS_0001,SOAP / Chart / Progress Notes,Claude 4.5,39.14,0.0,39.14,39.14,3,1,1
MTS_0001,SOAP / Chart / Progress Notes,Gemini 3,20.81,0.0,20.81,20.81,4,3,3
MTS_0001,SOAP / Chart / Progress Notes,Grok 4.1,269.94,0.0,269.94,269.94,2,1,1
MTS_0001,SOAP / Chart / Progress Notes,OpenEvidence,20.81,0.0,20.81,20.81,3,2,3
MTS_0002,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,4,4,1
MTS_0002,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,3,4
MTS_0002,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,3,3
MTS_0002,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,2,2
MTS_0002,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,4,2
MTS_0004,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,2,1,1
MTS_0004,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,2,2,2
MTS_0004,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,3,3
MTS_0004,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,2,1,2
MTS_0004,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,3,4
MTS_0005,SOAP / Chart / Progress Notes,GPT-5.2,394.8,269.55,125.25,125.25,2,2,2
MTS_0005,SOAP / Chart / Progress Notes,Claude 4.5,108.68,269.55,-160.87,0.0,4,4,3
MTS_0005,SOAP / Chart / Progress Notes,Gemini 3,269.55,269.55,0.0,0.0,4,3,4
MTS_0005,SOAP / Chart / Progress Notes,Grok 4.1,191.72,269.55,-77.83000000000001,0.0,2,1,1
MTS_0005,SOAP / Chart / Progress Notes,OpenEvidence,110.22,269.55,-159.33,0.0,2,1,2
MTS_0006,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,2,1,1
MTS_0006,SOAP / Chart / Progress Notes,Claude 4.5,15.36,0.0,15.36,15.36,3,3,3
MTS_0006,SOAP / Chart / Progress Notes,Gemini 3,8.72,0.0,8.72,8.72,3,2,2
MTS_0006,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,3,1,1
MTS_0006,SOAP / Chart / Progress Notes,OpenEvidence,17.18,0.0,17.18,17.18,1,2,1
MTS_0008,SOAP / Chart / Progress Notes,GPT-5.2,0.0,0.0,0.0,0.0,3,2,2
MTS_0008,SOAP / Chart / Progress Notes,Claude 4.5,0.0,0.0,0.0,0.0,4,3,3
MTS_0008,SOAP / Chart / Progress Notes,Gemini 3,0.0,0.0,0.0,0.0,4,3,3
MTS_0008,SOAP / Chart / Progress Notes,Grok 4.1,0.0,0.0,0.0,0.0,4,3,3
MTS_0008,SOAP / Chart / Progress Notes,OpenEvidence,0.0,0.0,0.0,0.0,4,3,2
MTS_0010,SOAP / Chart / Progress Notes,GPT-5.2,7.77,7.77,0.0,0.0,4,4,4
MTS_0010,SOAP / Chart / Progress Notes,Claude 4.5,7.77,7.77,0.0,0.0,4,2,4
MTS_0010,SOAP / Chart / Progress Notes,Gemini 3,7.77,7.77,0.0,0.0,4,3,4
